DeliveryPartnerID,Name,Age,Gender,VehicleType,JoiningDate,City,Rating,CompletedDeliveries,AverageDeliveryTime
46,Matthew Shankar,21,Female,Bike,2023.02.22,Visakhapatnam,4.1,876,21.7
47,Gayathri Pal,29,Female,Bike,2022-08-03,Pune,4.2,370,20.3
48,Megha Loke,38,Female,Bike,10-10-2023,Bhubaneswar,4.3,728,27.5
49,Aahana Merchant,35,Male,Bike,09/11/2023,Jaipur,4.1,970,21.1
50,Hardik Varughese,25,Female,Bike,26-10-2022,Nashik,3.5,796,42.5
51,Ria Boase,34,Male,Scooter,16-07-2022,Mumbai,,855,10.9
52,Faqid Chakrabarti,33,Male,Bicycle,10/11/2022,Coimbatore,4.6,1752,31.8
53,Gaurika Toor,21,Female,Bike,2022-03-11,Mumbai,3.9,524,43.6
54,Indira Narayanan,39,Female,Bike,05 Sep 2023, Nagpur  ,3.8,171,48.5
55,Harshil Char,34,Male,Bike,23 Jun 2024,Ludhiana,4.3,1013,25.3
56,Bhanumati Mangal,28,Male,Scooter,10-12-2022,Coimbatore,5.0,488,26.6
57,Krish Khare,26,Male,Scooter,13 Nov 2023,Bhubaneswar,3.1,467,30.6
58,Charvi Bassi,22,Female,Scooter,26/11/2024,Hyderabad,4.0,1120,53.5
59,Hitesh Ghose,27,Female,Bike,24/01/2025,Nashik,4.5,606,22.3
60,Zilmil Dua,32,Female,Scooter,07/03/2022,Indore,4.0,660,38.9
61,Vritti Setty,18,Female,Scooter,01/29/2022,Kochi,4.1,990,31.1
62,Azad Deshmukh,32,Female,Scooter,2024.05.18,PATNA,4.0,771,32.2
63,Vasana Tiwari,32,Male,Bike,2022-06-06,vadodara,4.8,330,40.3
64,Yamini Jaggi,34,Male,Bike,18/11/2022,Bhubaneswar,4.3,292,30.6
65,Falan Pant,31,Female,Bike,04/19/2024,Bhubaneswar,4.2,386,-29.7
66,Aryan Iyer,35,Male,Bike,01/04/2023,Ludhiana,4.0,822,45.2
67,Lavanya Bhardwaj,29,Female,Car,07/19/2024,Vadodara,3.6,1317,29.8
68,Adya Bera,40,Female,Bicycle,04/25/2023,Ahmedabad,4.8,862,33.3
69,Widisha Cheema,39,Male,Car,17-06-2023,Jaipur,4.2,334,27.4
70,Kamya Bora,18,Female,Bike,2021.08.10,Nagpur,3.7,556,46.6
71,Meghana Dara,32,Female,Scooter,09/20/2021,Bengaluru,4.5,472,31.2
72,Yashodhara Khosla,30,Male,Bike,27 Jul 2022,Jaipur,4.2,1194,19.4
73,Agastya Tak,24,Female,Bike,09/09/2021,Nagpur,4.3,626,34.9
74,Kashish Vig,32,Female,Bike,2022-04-12,Nagpur,4.4,489,42.2
75,Dakshesh Ganguly,29,Male,Bicycle,2022-01-26,NAGPUR,4.4,716,33.4
76,Aryan Garg,37,Female,Scooter,19/03/2024,Kochi,5.0,419,22.2
77,Warhi Hari,24,Female,Bike,2022.02.08, Pune  ,4.1,556,21.1
78,Kritika Wagle,29,Female,Bicycle,10 Aug 2022,Hyderabad,3.9,532,34.5
79,Dhruv Sen,28,Female,Scooter,2023-02-07,Delhi,4.3,705,28.9
80,Vasatika Arya,31,Female,Bike,27-08-2024,Pune,3.9,509,39.6
81, Qushi Oak  ,35,Male,Bicycle,2021.07.15,Lucknow,4.4,110,37.2
82,Fitan Tara,37,Male,Bike,03 Oct 2022,Guwahati,4.1,693,39.9
83,Libni Joshi,29,Female,Bike,2024.12.03,Vadodara,3.6,649,34.6
84,Bahadurjit Goel,26,Male,Bike,2023-01-13,Surat,4.2,673,36.6
85,Xavier Dyal,20,Male,Scooter,2024.09.25,Mumbai,4.0,568,31.6
86,Charles Tata,21,Male,Car,02/28/2025,Chandigarh,4.1,327,28.7
87,Farhan Gade,28,Male,Bike,2023-06-29,Nashik,4.4,302,23.6
88,Anusha Dhillon,28,Male,Bike,19 Nov 2021,Mumbai,4.7,240,48.7
89,Madhavi Kari,32,Male,Scooter,13/01/2023,Pune,4.4,261,28.9
90,Laksh Bera,29,Female,Bike,10/01/2022,Coimbatore,3.9,471,40.3
91,Prisha Wali,33,Female,Scooter,24/08/2021,Visakhapatnam,3.9,457,22.6
92,Rajata Ray,33,Female,Scooter,2022.12.21,Vadodara,3.8,145,43.2
93,Chaaya Vora,26,Female,Bike,31-12-2022,Pune,3.2,646,27.8
94,Jyoti Mandal,24,Male,Bike,14-09-2024,Kolkata,4.4,591,38.4
95,Rachit Garde,18,Female,Scooter,2024.10.15,Chennai,4.0,681,27.3
96,Hemani Kara,35,Female,Bike,07 Dec 2023,Nashik,4.3,336,14.7
97,Bishakha Mall,35,Male,Scooter,01 Dec 2024,Pune,4.1,643,39.9
98,Kabir Sharaf,26,Male,Bike,02 Jan 2023,Bhopal,3.6,394,40.7
99,Kashish Sabharwal,27,Male,Bike,08-02-2024,Ahmedabad,5.0,854,39.4
100,Nidhi Sabharwal,29,Male,Bike,28 Jul 2023,Visakhapatnam,4.7,499,15.5
101,Abhiram Patil,19,Male,Bike,2021.11.09,CHENNAI,3.8,979,30.2
102,Ekbal Kata,28,Female,Scooter,03-08-2021,Pune,4.1,803,30.4
103,Anmol Singhal,29,Male,Scooter,2021-06-01,Delhi,3.2,728,23.5
104,Yagnesh Bhakta,28,Female,Bike,2022-03-18,Patna,3.8,627,30.9
105,Vedhika Kohli,30,Female,Bicycle,2021.11.25,Kochi,4.6,515,23.9
106,Nisha Goel,25,Female,Bike,2024.12.05,Bhubaneswar,3.7,999,31.4
107,Radhika Dube,35,Male,Scooter,20-08-2024,Bengaluru,3.9,369,29.5
108,YASHASVI RAMASWAMY,23,Female,Bike,2023.05.03, Raipur  ,4.2,389,44.0
109,Upasna Natarajan,18,Male,Scooter,21 Jul 2021,Chennai,4.3,595,35.0
110,Sara Mital,26,Male,Scooter,21 Aug 2024,Mumbai,4.8,615,35.9
111,Chakrika Bajaj,34,Female,Car,2024-03-17,Bhopal,4.0,324,20.7
112,Maanav Bose,30,Female,Scooter,03 Sep 2021,Pune,4.1,560,36.8
113,Isha Bajwa,24,Female,Scooter,22/06/2021,Hyderabad,3.5,159,37.5
114,Vinaya Behl,33,Female,Bike,04 Dec 2021,Indore,4.5,98,42.1
115,Pratyush Mukherjee,35,Female,Scooter,08/07/2022,Bhubaneswar,4.3,400,20.6
116,Abhimanyu Bhasin,37,Male,Bike,2024-12-07,Kolkata,5.0,537,17.4
117,Vanya Golla,31,Female,Scooter,21/06/2022,chennai,4.4,434,34.9
118,Triya Bava,19,Female,Bicycle,12-03-2022,Guwahati,3.8,522,44.9
119,Isaiah Char,34,Male,Scooter,29 Apr 2022,Bhopal,3.3,325,17.2
120,Hamsini Batta,26,Male,Bicycle,2023-10-28,Bhubaneswar,4.3,783,21.9
121,Chatresh Behl,24,Female,Scooter,09-11-2021,Raipur,4.0,334,47.3
122,Ubika Johal,22,Male,Bike,2022.12.08,Bhopal,3.9,468,57.6
123,Udant Balan,36,Male,Car,09-07-2023,Pune,4.5,389,25.1
124,Oscar Ahuja,25,Male,Bike,02/07/2024,Guwahati,3.7,577,50.7
125,Tamanna Sahota,27,Male,Bike,06 Jan 2025,Patna,3.8,522,34.1
126,Fitan Sem,24,Female,Bicycle,19 Oct 2023,Kolkata,4.5,390,21.5
127,Xavier Singh,28,Female,Bicycle,2022.10.15,Kochi,4.3,425,34.5
128,Omkaar Venkatesh,18,Male,Car,10/09/2021,Bhopal,5.0,1521,33.3
129,Eta Mahal,25,Female,Scooter,22/07/2024,Bhopal,5.0,824,13.2
130, Oviya Sankar  ,30,Male,Scooter,26 Jan 2023,Chennai,3.9,816,42.5
131,Upkaar Sanghvi,26,Female,Bike,2023.12.16,Chennai,4.2,586,29.8
132,Balhaar Chacko,28,Female,Bike,08/10/2023,Hyderabad,4.4,1318,23.2
133,Aryan Buch,28,Female,Bike,20-10-2023,Kolkata,4.1,232,29.4
134,Gunbir Malhotra,31,Female,Bike,04/12/2022,Surat,4.7,183,22.9
135,Aishani Aurora,35,Female,Bike,2021.06.02,Chandigarh,4.5,465,23.5
136,Ria Sama,25,Female,Scooter,2022-12-04,Nashik,4.3,797,20.5
137,Gabriel Mangal,32,Male,Bike,09 Aug 2024,Bhubaneswar,4.6,370,21.9
138,Elijah Ahuja,36,Male,Bike,07/05/2021,Guwahati,4.0,281,33.3
139,Samaksh Dass,40,Male,Bike,2024.09.01,RAIPUR,3.7,514,50.8
140,Fariq Suri,23,Male,Bicycle,12/29/2024,Mumbai,4.3,591,35.0
141,Niharika Chaudhry,22,Female,Scooter,2024.07.08,Surat,4.5,750,29.4
142,George Natt,41,Male,Scooter,13 Jan 2024,Visakhapatnam,3.7,840,27.5
143,Megha Narasimhan,31,Female,Bike,27 Dec 2023,Nashik,4.9,269,33.0
144,Gaurangi Ben,24,Female,Bike,26-11-2022,Lucknow,3.8,381,25.6
145,sai de,27,Male,Scooter,2021-08-02,Mumbai,3.9,730,33.1
146,Gayathri Mahajan,30,Male,Bike,01-05-2024,Patna,4.9,229,20.4
147,Krisha Keer,36,Male,Scooter,11 May 2023,Raipur,3.8,1411,48.2
148,Kashish Bose,30,Male,Bike,2021.07.10,Pune,3.5,689,36.4
149,Naveen Kala,31,Female,Bike,12 Aug 2022,Jaipur,3.8,368,21.8
150,Dakshesh Choudhary,33,Male,Scooter,07/08/2023,Chandigarh,3.6,584,32.4
151, Abhimanyu Tella  ,27,Male,Bike,30/09/2023,CHANDIGARH,3.7,113,36.8
152,Hemang Apte,38,Male,Bike,06/14/2024,Nagpur,4.6,672,42.9
153,Atharv Amble,34,Male,Car,25-04-2022,Ahmedabad,3.8,704,20.9
154,Nimrat Tella,27,Female,Bike,2025-03-04,SURAT,3.9,907,43.8
155,David Rao,37,Female,Car,2023-07-01,Surat,4.8,389,30.5
156,Madhav Talwar,28,Female,Bike,05 Jul 2023,Chennai,4.2,535,25.7
157,Abeer Palan,31,Male,Bike,11/12/2024,Coimbatore,4.5,1094,-48.3
158,Maanav Sinha,28,Male,Car,03/09/2023,Pune,4.4,809,23.9
159,Bachittar Shroff,39,Female,Bike,23 Oct 2021, Mumbai ,4.6,979,22.3
160,Pallavi Dewan,20,Male,Scooter,14/08/2024,Visakhapatnam,3.9,500,52.6
161,Xiti Anne,26,Female,Bike,2024-03-14,Lucknow,4.3,821,10.0
162,David Deep,36,Female,Bike,25/08/2022,Patna,3.7,1032,34.1
163,MAHIKA SAMA,30,Female,Scooter,23-02-2024,Ludhiana,4.6,642,27.6
164,Bhavini Chacko,27,Female,Bike,22-10-2024, Raipur  ,3.9,405,24.9
165,Januja Bhargava,25,Female,Scooter,20/09/2023,Indore,3.8,263,27.1
166,Oliver Kothari,40,Female,Car,23/02/2025,VISAKHAPATNAM,4.1,252,25.0
167,Utkarsh Sarkar,29,Male,Bicycle,07/23/2024,Coimbatore,4.8,750,-22.2
168,Manthan Mani,30,Female,Bike,2024.09.28,Nashik,,2117,26.9
169,Meghana Chhabra,18,Male,Bicycle,02/18/2025,Mumbai,4.1,776,36.2
170,Vritti Sodhi,18,Male,Bike,10/04/2023,Chennai,4.0,1257,25.8
171,Jack Barad,33,Male,Bike,11-12-2024,GUWAHATI,4.7,401,40.7
172,Lakshmi Thaker,32,Male,Scooter,2023-02-10,Hyderabad,4.0,1364,29.4
173, Tanmayi Rout  ,26,Female,Bike,30 Aug 2022,Indore,3.3,595,26.0
174,Vinaya Naik,18,Male,Scooter,07-02-2023,Pune,4.5,461,26.0
175,Qabil Pillay,25,Female,Scooter,25-07-2024,Vadodara,4.0,405,38.7
176,Zayan Modi,18,Female,Scooter,10/01/2024,Pune,4.7,641,43.3
177,Yash Dada,25,Male,Bike,26-01-2023,Bhubaneswar,4.3,808,20.2
178,Rachit Bhattacharyya,22,Male,Bike,02/02/2023,Indore,4.4,600,36.4
179,Jagrati Cherian,20,Female,Bike,25/12/2022,Raipur,4.1,836,16.5
180,Fitan Dugar,25,Female,Bike,29/10/2021,Bhopal,3.5,436,12.4
181,Nisha Vohra,27,Male,Scooter,2024-06-09,Bengaluru,3.7,710,38.6
182,Amrita Uppal,21,Female,Scooter,11/04/2023,Bhopal,3.4,842,27.9
183,Girik Modi,23,Female,Bicycle,2025.02.02,Visakhapatnam,4.5,735,30.0
184,Hredhaan Upadhyay,33,Male,Bicycle,2023.08.22,PUNE,4.8,713,22.9
185,Sai Venkataraman,18,Male,Car,03/17/2024,Mumbai,4.6,580,33.0
186,Daniel Palan,21,Female,Car,06/08/2024,Lucknow,3.5,438,45.2
187,Chavvi Yohannan,33,Female,Scooter,11-11-2022,Hyderabad,4.2,624,26.5
188,Tara Iyer,26,Female,Bike,29 Aug 2021,Delhi,4.2,684,31.4
189,Sara Sachdev,30,Male,Scooter,08/19/2021,Coimbatore,5.0,678,40.6
190,Samuel Borra,33,Female,Scooter,2022-01-18,Delhi,4.4,858,40.3
191,Ansh Sami,37,Female,Bike,2024.02.29,Chennai,4.6,764,32.5
192,Luke Narain,32,Male,Bike,25-08-2023,Nashik,4.0,843,28.4
193,Brijesh Arora,28,Female,Bike,16-10-2021,Coimbatore,3.7,700,30.7
194,Ikbal Gupta,31,Male,Bike,07/06/2022,Coimbatore,4.2,781,26.5
195,Jackson Mand,23,Male,Scooter,06/13/2024,Raipur,4.8,1848,48.7
196,Kavya Sura,25,Male,Bicycle,2021-07-21,Lucknow,4.5,693,29.9
197,Chandani Karnik,26,Female,Bike,2024.06.03,Patna,4.4,445,28.7
198,Janya Vig,33,Male,Bike,14 May 2022,Surat,4.7,366,15.8
199,Kalpit Koshy,20,Male,Scooter,30 Aug 2024,Visakhapatnam,4.0,395,44.5
200,Vritti Doshi,19,Male,Scooter,09/03/2023,Lucknow,4.5,352,30.5
201,Saksham Roy,28,Female,Bike,02 Jul 2021,JAIPUR,4.2,199,52.1
202,Harini Kunda,35,Male,Bike,2023.04.15,Surat,4.0,1305,28.6
203,Vasana Deep,28,Female,Scooter,2023-02-20,Ludhiana,3.6,349,29.3
204,Janani Nagar,37,Female,Scooter,2023.08.03,Ludhiana,4.0,808,30.7
205,Triya Jaggi,26,Female,Bike,22 Aug 2022,Lucknow,4.3,333,42.9
206,Harini Din,24,Female,Bike,2024-08-15,Coimbatore,4.3,727,40.9
207,Hemangini Guha,22,Male,Car,02 Sep 2023,Delhi,4.7,188,33.0
208,Upkaar Bajwa,28,Male,Bicycle,19/09/2022,Delhi,3.9,392,26.3
209,Hitesh Sathe,23,Female,Bike,2022-07-24,New Delhi,3.7,1409,31.0
210,Manthan Shah,26,Male,Bike,2021-09-23,Ahmedabad,3.7,396,33.6
211,Ladli Hayer,24,Female,Bike,03/26/2025,Pune,3.9,232,33.4
212,Gayathri Parsa,39,Male,Bicycle,15-08-2024,Bhubaneswar,4.7,917,38.6
213,Waida Sule,25,Male,Bike,11/03/2025,Bhopal,4.4,702,37.7
214,Bhavika Thaman,33,Female,Bike,2024.02.11,Kochi,4.6,711,41.5
215,Chanchal Comar,26,Male,Scooter,2023.08.15,Guwahati,,509,23.9
216,Hemang Venkatesh,27,Male,Car,2024.06.04,Indore,4.1,349,39.6
217,Kabir Kapoor,19,Female,Scooter,16 Nov 2024,Indore,4.6,545,26.5
218,Ethan Ramakrishnan,18,Male,Bicycle,2024.09.07,Kochi,4.5,877,42.3
219,Daksh Saran,33,Male,Bike,2024.02.16,Bangalore,4.5,478,42.7
220,Dipta Krishna,34,Female,Scooter,06/30/2024,Kochi,4.4,661,27.7
221,Kala Ganesh,25,Male,Bike,16 Feb 2024,Nagpur,3.8,572,35.7
222,Meera Oza,22,Male,Bike,28/08/2022,Hyderabad,4.6,826,36.2
223,Barkha Chokshi,19,Male,Bike,18/09/2024,Ludhiana,4.5,989,-32.9
224,Nihal Pathak,34,Female,Bike,31-12-2023,Pune,4.3,708,28.9
225,Yashoda Ravel,24,Male,Bike,04/24/2022,Bhopal,3.8,620,35.6
226,Jhalak Bhargava,18,Female,Bike,2022.05.22,Indore,4.2,461,30.5
227,Raagini Sani,40,Female,Scooter,2023-07-05,Kolkata,4.4,876,29.0
228,Waida Narang,30,Female,Car,12/05/2023,Coimbatore,4.2,685,19.0
229,Krish Chahal,28,Male,Bike,19 Jan 2022,Surat,3.9,718,23.3
230,Zinal Krishna,30,Female,Bike,2024.06.15,Nagpur,4.7,664,22.2
231,Leela Muni,21,Female,Bike,05-09-2024,Visakhapatnam,4.1,468,34.0
232,Daniel Raj,28,Female,Bike,10/10/2024,Bengaluru,4.1,256,34.8
233,Falguni Borah,29,Male,Bike,08/09/2023,Jaipur,4.3,374,15.1
234,Vritti Kanda,30,Female,Bicycle,19 Nov 2022,Jaipur,4.6,597,25.2
235,Aachal Tiwari,24,Male,Scooter,26/11/2022,Indore,4.4,1262,29.4
236,Udant Keer,29,Male,Bike,10/02/2025,Patna,4.1,341,43.1
237,Madhavi Shetty,29,Female,Bike,22-02-2024,Hyderabad,4.5,185,34.4
238,Zaitra Tank,30,Female,Bike,20 Apr 2023,Nashik,4.1,495,22.2
239,Zashil Randhawa,35,Male,Bicycle,2024.08.19,Delhi,4.2,695,21.2
240,Upasna Murthy,27,Female,Car,2022-12-05, Kochi  ,4.1,1006,26.9
241,Dominic Ramesh,25,Male,Bike,07/09/2024,CHENNAI,3.7,1350,25.5
242,Qasim Sheth,25,Male,Car,10/25/2023,Bhopal,3.7,715,27.7
243,Lila Gaba,31,Male,Bike,2022.11.09,Pune,4.4,944,27.0
244,triveni sani,29,Male,Scooter,01/30/2023,Lucknow,4.2,876,60.6
245,Lipika Dora,23,Female,Scooter,11/30/2024,Guwahati,4.8,581,40.0
246,Deepa Subramanian,23,Female,Bike,21/05/2024,Ludhiana,3.7,917,53.5
247,Harshil Rao,29,Male,Bike,10/01/2022,Pune,4.5,355,39.8
248,Fariq Thakur,20,Male,Scooter,01/18/2023,Surat,3.8,421,35.4
249,Sachi Kuruvilla,23,Female,Scooter,24/10/2024,Nashik,3.8,463,40.4
250,Bachittar Goda,34,Male,Scooter,2024-01-09,Chennai,4.8,506,19.3
251,Adya Chatterjee,37,Male,Car,2022-10-30,Bhubaneswar,4.4,145,21.7
252,Ekansh Chakrabarti,35,Female,Bike,07 Jun 2024,Nashik,4.1,242,38.2
253,Hardik Raju,28,Female,Scooter,2023-12-06,Bhubaneswar,4.0,724,29.3
254,Frado Butala,32,Female,Car,05-12-2021,Ahmedabad,4.8,332,24.2
255,Edhitha Majumdar,18,Male,Bike,20-07-2023,Ahmedabad,3.9,275,33.3
256,Gautam Kapoor,37,Male,Bike,12/06/2023,Nagpur,4.1,388,30.2
257,Matthew Buch,25,Female,Bike,23 Nov 2022,Mumbai,4.4,676,36.0
258,Fiyaz Sule,24,Male,Bike,13/07/2024,Bhopal,4.0,1285,33.1
259, Meera Krish  ,21,Female,Bike,2021.12.08,Guwahati,3.2,506,35.1
260,RACHANA MURTY,27,Female,Scooter,12/22/2022,Bhopal,4.5,350,33.4
261,Viraj Kota,24,Female,Bike,01-03-2025,Ludhiana,4.0,496,30.2
262,NAKUL DIXIT,24,Female,Bike,2023.06.12,Chennai,4.8,713,39.9
263,Tamanna Manne,35,Female,Bike,2022.10.08,Bhubaneswar,4.8,421,52.6
264,Chaitanya Deep,43,Female,Scooter,16-07-2021,Delhi,4.2,344,36.8
265,Pranav Madan,35,Female,Scooter,2022-12-02,Pune,4.3,997,38.0
266,Nandini Sodhi,24,Male,Bike,04/17/2023,Coimbatore,3.9,589,38.6
267,Deepa Banerjee,25,Male,Bicycle,2021-06-06,Ahmedabad,4.5,705,29.3
268,Ansh Sastry,25,Female,Bike,03/07/2024,Delhi,4.4,444,40.9
269,Jeevika Trivedi,30,Female,Scooter,07/21/2022,Bhubaneswar,4.2,1501,39.6
270, Amruta Varkey  ,27,Female,Bike,05/25/2024,Surat,3.6,442,37.5
271,Arjun Chandran,34,Female,Scooter,2024-05-21,Nashik,4.7,414,34.3
272,Rohan Sahota,36,Female,Bike,2024-07-02,Ahmedabad,4.2,697,24.7
273,Zayan Lalla,32,Male,Bike,11/07/2022,Pune,4.0,811,41.7
274,Vinaya Dube,32,Female,Scooter,2021-09-25,Guwahati,5.0,478,16.6
275,Megha Bhatia,35,Female,Car,09/01/2021,Kochi,4.3,263,20.7
276,Wridesh Aurora,27,Female,Bike,06-10-2024,Surat,4.0,588,41.4
277,Advik Doshi,26,Male,Car,26 Dec 2022,Kochi,3.7,834,42.4
278,Turvi Devan,31,Female,Car,29 Apr 2022,Kochi,4.8,376,28.2
279,Benjamin Mammen,25,Female,Bike,28-12-2023,Madras,4.0,708,33.9
280,Zansi Cherian,37,Female,Bike,07/12/2023,Guwahati,4.6,536,37.7
281,Tanay Balan,26,Male,Scooter,2022-12-30,Vadodara,4.5,603,10.0
282,Vritti Wali,30,Male,Bike,08-03-2022,Surat,3.8,486,24.8
283,Nathan Doctor,30,Female,Scooter,06/06/2024,Ahmedabad,3.9,728,55.2
284,Fiyaz Raman,41,Female,Bike,2022.01.23,Delhi,3.6,163,16.8
285,Vrishti Bhardwaj,32,Male,Bike,05/26/2022,Hyderabad,4.4,430,33.6
286,Vritti Wagle,26,Female,Scooter,2024-08-19,Coimbatore,3.7,817,41.9
287,Meghana Kala,25,Female,Bike,22 Dec 2022,Hyderabad,4.2,636,11.8
288,bahadurjit chaudhary,26,Female,Bicycle,08-08-2022,Ludhiana,4.7,327,30.0
289,Tripti Desai,30,Male,Bike,01-01-2022,Visakhapatnam,4.6,608,55.0
290,Arunima Krishna,27,Female,Bike,10 Jun 2023,Bengaluru,4.2,476,37.5
291,Pahal Rana,31,Female,Scooter,09/11/2024,Hyderabad,4.2,707,46.2
292,Tanveer Mangat,34,Male,Scooter,2024.08.24,Raipur,,362,38.5
293,Tanish Khosla,23,Male,Car,04/07/2023,Visakhapatnam,4.2,399,32.4
294,jonathan saraf,18,Male,Scooter,2023.09.13,Pune,3.6,577,21.9
295,Dhriti Loyal,18,Male,Bike,2025-01-02,Guwahati,4.1,858,34.3
296,Omisha Karnik,24,Female,Scooter,09/01/2021,Hyderabad,4.4,402,55.9
297,Hiral Chakrabarti,29,Male,Scooter,23 Mar 2025,Coimbatore,4.3,399,41.1
298,Owen Prakash,24,Female,Bike,12 Jul 2021,Jaipur,4.1,319,36.7
299,Veer Misra,18,Male,Bike,03 Feb 2022,Lucknow,4.1,352,34.7
300,Hiral Mani,30,Female,Bike,01/11/2023,Nashik,4.1,657,36.3
301,Lakshmi Badal,28,Male,Car,2022.06.25,DELHI,4.4,893,40.2
302,Ridhi Mander,31,Male,Bike,2021.06.26,Ahmedabad,4.9,537,26.7
303,Yatan Nazareth,27,Female,Bike,04 Dec 2023,Patna,3.9,764,44.3
304,Rachit Vora,18,Male,Bike,2023-02-14,Coimbatore,4.0,299,29.6
305,Ethan Karpe,24,Female,Car,21 Jan 2023,Bhubaneswar,4.6,317,13.5
306,Neelima Nanda,27,Female,Scooter,20 Jan 2025,CHENNAI,4.2,938,23.9
307,Urvi Kalla,31,Female,Bike,2022.05.27,Surat,4.5,1200,31.9
308,Yadavi Lad,29,Male,Scooter,15-09-2022,Lucknow,4.7,555,34.1
309,Ishanvi Sarkar,24,Male,Bike,2025-03-21,Bengaluru,3.9,537,52.0
310,Gabriel Sethi,28,Female,Scooter,26 Apr 2022,jaipur,4.1,791,28.1
311,Aarna Dara,33,Male,Scooter,21/05/2024,KOCHI,4.4,281,45.2
312,Umang Sarma,29,Male,Scooter,07/15/2021,Ludhiana,4.5,609,31.8
313,Unnati Deo,32,Female,Bike,24-01-2023,Patna,4.3,361,49.4
314,Neel Rattan,20,Male,Bicycle,2022.02.22,Indore,4.4,1242,10.0
315,Triveni Pandey,28,Male,Bike,14 Jan 2025,Chennai,3.9,766,15.3
